Locus	SRR5618242	SRR5618243	SRR5618244	SRR5618245	SRR5618246	SRR5618247	SRR5618248	SRR5618249	SRR5618250	SRR5618251	SRR5618252	SRR5618253 
AT1G50920.1	3774	3738	4205	3872	4059	3408	5331	4319	3824	3768	3904	4771
AT1G36960.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G44020.1	3	5.72398	6.75873	3	7.88007	1	3	2	5	2	2	4
AT1G15970.1	261	258	276	253	272	241	352	268	258	245	262	315
AT1G73440.1	143.941	146	167	157	137	123	186	149	121	134	126	153
AT1G75120.1	168	216	165	90	94	83	222	183	158.863	131	128	135
AT1G17600.1	85	84	86	55	69	86	92	79	65	67	78	83
AT1G50860.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51380.1	41	32	40	25	31	28	36	38	37	37	36	58
AT1G77370.1	377	384	378	250	278	255	368	387	246	293	307	347
AT1G44090.1	0	1	0	0	0	0	0	1	0	2	0	0
AT1G10950.1	2330	2240	2309	1874	2123	1922	2832	2473	1944	2022	2132	2375
AT1G31870.1	648	679	716	619	683	609	819	783	574	648	720	845
AT1G51360.1	150	155	159	164	161	168	206	189	141	157	192	159
AT1G14940.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G50950.1	77	75	97	89	119	112	110	105	104	95	121	137
AT1G75110.1	34	29	35	23	30	25	52	22	26.1372	21	39	30
AT1G17400.1	16	24	13	12	8	11	8	8	10	7	8	9
AT1G50930.1	42	19	28	27	26	22	34	38	44	25	29	33
AT1G17390.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09400.1	2	4	3	5	14	10	13	4	6	13	6	7
AT1G09415.1	340	319	382	239	303	228	376	294	289	190	247	306
AT1G74730.1	1474	1400	1232	1553	1518	1459	1859	1509	1106	1273	1431	1619
AT1G75100.1	1015	961	1153	1510	1310	1340	1363	1248	970	1364	1443	1633
AT1G75240.1	405	390	439	654	693	620	820	656	551	629	672	813
AT1G14920.1	720	739	832	542	575	515	848	700	620	578	549	658
AT1G65510.1	64	65	53	36	40	49	64	75	53	53	56	52
AT1G75250.1	70	59	58	38	29	39	43	57	50	42	34	29
AT1G54410.1	43421	36886	42667	39066	43691	38806	48090	45205	37807	29327	30708	43002
AT1G09410.1	48	40	40	23	39	19	50	41	30	37	47	39
AT1G54420.1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G54430.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75090.1	143	129	125	80	114	81	178	137	95	102	100	125
AT1G36950.1	4	2	5	5	5	7	6	1	3	2	4	2
AT1G50940.1	249	228	247	217	223	246	266	250	185	224	243	263
AT1G14930.1	1	1	1	0	0	2	0	0	0	0	0	0
AT1G65970.1	202.679	202.32	213.506	70.8471	99.4661	58.3352	185.675	182.394	145.134	92.9415	70.8463	93.7247
AT1G17410.1	38	43	44	50	38	37	50	52	43	49	50	61
AT1G31880.1	71.9307	90	89.7747	68.5978	91.9738	98.8022	107.207	101.162	76.1053	73.5516	67.7787	101.267
AT1G77320.1	201	206	257	184	233	186	255	237	210	181	206	272
AT1G77500.1	327	305	372	331	356	276	438	324	314	292	331	404
AT1G51320.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G43990.1	0	0	0	0	0	0	0	0	0	0	0	1
AT1G74770.1	278	230	249	353	418	265	446	348	243	261	277	337
AT1G75080.1	519.353	455.538	483.617	425.364	470.252	368.109	597.96	476.654	421.112	397.316	482.246	576.472
AT1G14890.1	136	123	156	177	257	207	185	217	155	190	198	231
AT1G51330.1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G80350.1	654	666	699	736	714	644	871	745	617	668	709	824
AT1G14900.1	852	879	797	726	786	813	1164	990	752	873	937	1077
AT1G15960.1	163.145	154.393	163.415	153.903	145.664	163.579	204.475	194.801	126.108	160.169	155.778	209.48
AT1G14980.1	930	918	932	829	776	730	1073	848	840	783	919	1040
AT1G14910.1	462	449	484	372	444	378	605	480	425	418	439	489
AT1G44100.1	482	450	415	356	359	328	513	399	295	420	471	488
AT1G42450.1	0	0	0	0	0	0	0	1	0	0	0	0
AT1G15000.1	580	530	542	368	404	323	609	480	426	374	376	500
AT1G31850.1	1648	1602	1578	1207	1536	1166	2086	1655	1312	1166	1385	1599
AT1G79210.1	554	580	573	514	460	467	678	575	433	526	538	563
AT1G67160.1	5	4	10	4	7	5	5	5	4	3	0	6
AT1G42350.1	19	22	28	5	12	3	14	11	8	3	4	9
AT1G20960.1	5062	4862	5750	4710	5443	4871	7380	5679	4706	4964	5656	6759
AT1G74780.1	110	103	113	85	83	84	107	98	69	108	92	96
AT1G65620.1	54	59	34	96	100	73	93	77	53	94	103	115
AT1G12680.1	645	644	730	683	707	611	855	663	609	649	592	792
AT1G74790.1	514	473	567	490	683	526	699	583	506	697	697	779
AT1G77510.1	742	786	843	568	506	517	826	709	563	553	659	695
AT1G43980.1	30	21	43	23	33	25	26	31	27	27	31	29
AT1G77300.1	1611	1405	1568	1377	1603	1350	2117	1636	1364	1504	1638	1924
AT1G80340.1	37	38	32	42	41	48	57	42	45	32	43	52
AT1G65985.1	213	236	237	163	141	124	176	143	124	124	118	126
AT1G43995.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51340.2	157	141	159	101	107	85	142	118	92	100	114	111
AT1G31860.1	381	362	351	314	338	320	465	405	345	324	325	395
AT1G73450.1	399.626	374.194	405.837	427.721	465.648	449.414	528.011	455.065	363.533	413.509	451.741	518.419
AT1G21070.1	173	120	140	147	138	146	202	177	162	160	161	183
AT1G51350.1	406	361	337	310	317	318	440	323	307	286	354	424
AT1G14950.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09440.1	310	260	325	392	401	371	465	399	344	408	400	538
AT1G09390.1	136	133	133	151	223	193	174	190	123	128	145	137
AT1G22840.1	848	757	826	727	735	711	1043	827	825	774	873	985
AT1G09430.1	1694	1542	1870	1988	2410	1949	2291	2105	1585	1977	1975	2321
AT1G44010.1	0	0	0	2	1	0	1	0	0	1	0	0
AT1G80360.1	1435	1484	1350	1585	1621	1362	1812	1555	1255	1533	1588	1808
AT1G73445.1	4.05881	1	4	0	1	0	2	1	2	0	2	3
AT1G74720.1	775	695	813	733	707	652	990	795	647	643	671	850
AT1G65980.1	1572.68	1302.82	1438	1352.92	1614	1290	1698.46	1265	1368	1330	1794	2050
AT1G44000.1	999	874	861	1191	1057	1084	1471	1009	896	1154	1321	1499
AT1G65940.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75260.1	86	61	81	62	55	68	102	73	66	45	56	73
AT1G31900.1	5	7	4	12	12	13	16	9	4	15	14	8
AT1G14970.1	124	121	145	98	124	105	157	129	118	90	134	121
AT1G42320.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G14960.1	224	163	207	59	67	67	123	96	106	95	104	128
AT1G12670.1	0	1	0	0	0	0	0	0	2	0	0	0
AT1G73460.1	1073.37	1084.81	1115.16	975.279	1050.35	944.586	1462.99	1171.94	950.467	1058.49	1122.26	1317.58
AT1G09450.1	59	44	50	45	58	77	90	72	57	60	63	71
AT1G51355.1	37	21	21	16	22	24	39	21	25	18	19	29
AT1G36750.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12660.1	0	1	0	0	0	0	0	0	0	0	0	0
AT1G75130.1	294	282	279	282	323	281	374	296	275	270	304	320
AT1G21120.1	69.9322	77.3075	79.8468	25.5852	29.5019	22.1818	33.4034	28.6749	20.0296	19.3913	41.1626	19.2527
AT1G09740.1	624	466	607	501	595	409	683	493	456	428	431	560
AT1G21110.1	202.675	201.178	174.753	72.8388	83.7272	69.9633	139.085	106.616	74.1394	79.921	90.9816	105.998
AT1G50900.1	2116.6	1807.61	1745.16	2147.8	2105.59	1946.48	2561.85	1996.76	1601.09	1568.89	1818.89	2127.27
AT1G37000.1	0	0	0	0	0	0	0	0	0	0	2	0
AT1G77330.1	916	893	958	884	944	802	1232	1070	851	870	871	1026
AT1G80400.1	275	233	273	247	229	216	264	271	192	198	192	212
AT1G74740.1	496	480	499	454	424	392	559	503	363	368	411	473
AT1G17370.1	1038	949	976	883	876	765	1229	1000	753	895	893	1027
AT1G09750.1	3856	3254	3813	3632	4496	3244	5339	3646	5562	2995	3943	5679
AT1G75220.1	839	759	785	1060	1286	954	1139	1007	715	989	978	1071
AT1G65560.1	80	92	88	77	86	84	104	92	75	92	95	111
AT1G65570.1	11	28	8	10	9	15	24	12	13	13	12	12
AT1G49660.1	1074	902	922	937	974	868	1146	817	817	946	1001	1278
AT1G36680.1	3	1	0	0	0	0	0	1	1	0	0	0
AT1G21100.1	272.417	284.384	265.343	43.256	50.303	32.2046	210.084	184.736	143.088	94.8937	89.2284	123.449
AT1G29020.1	72	92	83	177	123	135	148	94	84	93	122	96
AT1G42310.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77310.1	122	114	135	112	134	110	156	134	104	116	140	138
AT1G44075.1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12610.1	4	9	4	3	2	3	4	1	5	4	3	6
