Locus	SRR8054359	SRR8054360	SRR8054361	SRR9179101	SRR9179102	SRR9179103
AT1G50920.1	7337	9021	4864	2038	938	1575
AT1G36960.1	0	0	0	0	0	0
AT1G44020.1	0	0	0	0	0	0
AT1G15970.1	338	378	270	254	178	244
AT1G73440.1	250.655	329.452	195	190.485	127.688	154.728
AT1G75120.1	43	49	23	87	50	20
AT1G17600.1	3	5	2	0	1	0
AT1G50860.1	0	0	0	0	0	0
AT1G51380.1	218	263	115	26	14	11
AT1G77370.1	614	940	522	977	867	941
AT1G44090.1	0	0	2	5	0	0
AT1G10950.1	3016	3283	1676	2121	1528	2399
AT1G31870.1	378	582	261	217	109	153
AT1G51360.1	77	136	53	173	108	162
AT1G14940.1	0	0	0	0	0	0
AT1G50950.1	59	82	32	34	33	66
AT1G75110.1	56	106	64	282	217	327
AT1G17400.1	0	2	0	0	0	0
AT1G50930.1	0	0	0	0	0	1
AT1G17390.1	0	0	1	1.65393	0	0
AT1G09400.1	8	4	4	1	4.03304	7.07285
AT1G09415.1	4	20	10	0	12	10
AT1G74730.1	530	802	387	760	816	785
AT1G75100.1	5	31	3	13	11	8
AT1G75240.1	0	2	0	991	1388	1154
AT1G14920.1	73	215	101	405	530	793
AT1G65510.1	0	0	0	3	0	0
AT1G75250.1	2	9	6	124	224	52
AT1G54410.1	515	571	247	148	94	133
AT1G09410.1	42	34	26	5	7	28
AT1G54420.1	0	0	0	0	0	0
AT1G54430.1	0	0	0	0	0	0
AT1G75090.1	115	173	73	461	355	287
AT1G36950.1	0	0	1	0	0	0
AT1G50940.1	305	368	225	502	436	533
AT1G14930.1	0	0	0	0	0	0
AT1G65970.1	97.1089	517.414	189.255	2199.04	771.259	612.042
AT1G17410.1	101	171	81	72	41	80
AT1G31880.1	153	239	67	28	17	16
AT1G77320.1	231	454	250	168	79	104
AT1G77500.1	37	95	43	45	22	19
AT1G51320.1	0	0	0	0	0	0
AT1G43990.1	0	0	0	0	0	0
AT1G74770.1	0	9	4	0	0	0
AT1G75080.1	974.452	1126.55	583.075	1071.21	1095.68	1103.91
AT1G14890.1	0	0	1	187	191	262
AT1G51330.1	1	1	0	0	2	0
AT1G80350.1	533	775	433	303	242	355
AT1G14900.1	2044	3234	1809	2074	1302	1937
AT1G15960.1	5.36878	6.7579	4.16307	8.45267	2.69708	8.5162
AT1G14980.1	13638	18505	10756	5971	3231	5451
AT1G14910.1	309	345	150	290	226	255
AT1G44100.1	753	1113	458	587	748.965	716
AT1G42450.1	0	1	0	0	0	0
AT1G15000.1	220.697	269.834	124.653	9.22229	4.11183	2
AT1G31850.1	386	523	268	459	337	384
AT1G79210.1	1688	2808	1462	1496	931	1173
AT1G67160.1	0	0	0	2	6	8
AT1G42350.1	2	3	0	0	0	1
AT1G20960.1	2743	3409.97	2034.94	1248	886	1439.97
AT1G74780.1	83	106	37	163	77	131
AT1G65620.1	31	52	29	599	622	815
AT1G12680.1	189	452	259	381	285	436
AT1G74790.1	1869	1624	1253	1058	998	1212
AT1G77510.1	3707	4088	2854	2717	1557	2708.3
AT1G43980.1	81	73	55	42	13	38
AT1G77300.1	378	392	276	334	149	201
AT1G80340.1	41	66	35	0	0	0
AT1G65985.1	13	29	11	69	63	54
AT1G43995.1	0	0	0	0	0	0
AT1G51340.2	209	212	168	70	68	45
AT1G31860.1	1745	1981	951	505	373	510
AT1G73450.1	181.743	255.298	153.354	62.8875	42.9966	31.508
AT1G21070.1	176	343	178	248	338	271
