Locus	SRR17231443	SRR17231444	SRR17231445	SRR17231446	SRR17231447	SRR17231448	SRR17231449	SRR17231450 
AT1G50920.1	221	196	1115	926	949	446	212	531
AT1G36960.1	0	0	0	0	0	0	0	0
AT1G44020.1	0	0	0	0	0	0	0	0
AT1G15970.1	117	112	89	78	96	100	93	83
AT1G73440.1	34	29	38	44	22	23	12	26
AT1G75120.1	4	8	9	16	11	16	5	15
AT1G17600.1	34	33	194	190	202	81	44	91
AT1G50860.1	0	0	0	0	0	0	0	0
AT1G51380.1	2	2	4	3	6	2	1	1
AT1G77370.1	186	168	367	272	305	292	338	251
AT1G44090.1	0	0	0	0	0	0	0	0
AT1G10950.1	486	441	536	545	510	483	325	405
AT1G31870.1	52	40	178	157	133	88	36	66
AT1G51360.1	39	38	38	30	28	33	30	32
AT1G14940.1	0	0	0	0	0	0	0	0
AT1G50950.1	11	5	22	36	38	18	15	20
AT1G75110.1	8	10	16	14	12	8	2	8
AT1G17400.1	2	0	2	6	1	1	3	4
AT1G50930.1	0	0	0	1	0	1	0	0
AT1G17390.1	0	0	0	0	0	0	0	0
AT1G09400.1	0	1	9	7	6	8	3	3
AT1G09415.1	76	44	70	53	54	87	80	69
AT1G74730.1	1340	1324	670	641	709	961	1074	848
AT1G75100.1	507	354	533	592	488	341	170	275
AT1G75240.1	182	168	159	146	129	200	179	134
AT1G14920.1	202	207	161	141	151	160	73	122
AT1G65510.1	2	1	22	39	27	17	25	8
AT1G75250.1	19	11	4	3	4	3	7	4
AT1G54410.1	2524	1768	2482	2257	2111	2540	1997	2994
AT1G09410.1	1	0	4	4	5	3	2	5
AT1G54420.1	0	0	0	0	0	0	0	0
AT1G54430.1	0	0	0	0	0	1	0	0
AT1G75090.1	9	12	21	9	12	23	12	21
AT1G36950.1	0	2	0	1	0	1	0	1
AT1G50940.1	26	28	56	45	65	39	26	29
AT1G14930.1	0	0	0	0	0	1	0	1
AT1G65970.1	1.00804	1.02399	21.284	16.1997	24.7617	21.5453	6.03031	3
AT1G17410.1	23	22	28	26	28	36	60	35
AT1G31880.1	18	12	28	15	18	16	11	6
AT1G77320.1	11	7	22	34	33	22	12	24
AT1G77500.1	43	39	249	214	235	92	47	84
AT1G51320.1	0	0	0	0	1	0	0	0
AT1G43990.1	0	0	0	0	0	0	0	0
AT1G74770.1	2	0	2	1	3	0	1	1
