Target	Interacting miRNA
AT3G44870	ath-miR163
AT2G03220	ath-miR158
AT5G28520	ath-miR842
AT5G28520	ath-miR846
AT2G42430	ath-miR837
AT5G36730	ath-miR859
AT2G32460	ath-miR159
AT1G63010	ath-miR827
AT3G16820	ath-miR859
AT1G66370	ath-miR828
AT3G21170	ath-miR859
AT3G60460	ath-miR159
AT5G49330	ath-miR858
AT1G20300	ath-miR400
AT1G64100	ath-miR158
AT5G12840	ath-miR169
AT4G26930	ath-miR159
AT5G43730	ath-miR472
AT2G26960	ath-miR159
AT2G28780	ath-miR395
AT3G27150	ath-miR2111
AT5G10180	ath-miR395
AT1G53910	ath-miR396
AT1G72230	ath-miR408
AT4G34060	ath-miR402
AT5G38550	ath-miR842
AT3G62610	ath-miR858
AT5G55020	ath-miR159
AT4G14140	ath-miR773
AT5G52600	ath-miR828
AT3G14560	ath-miR824
AT5G38100	ath-miR163
AT4G19440	ath-miR400
AT5G57735	ath-miR390
AT3G15130	ath-miR158
AT5G13630	ath-miR395
AT1G48500	ath-miR169
AT1G51760	ath-miR167
AT2G42200	ath-miR156
AT5G64640	ath-miR156
AT3G22890	ath-miR395
AT2G22740	ath-miR778
AT4G29900	ath-miR391
AT5G14550	ath-miR398
AT1G27340	ath-miR394
AT3G12977	ath-miR164
AT3G09220	ath-miR857
AT4G05390	ath-miR773
AT1G06180	ath-miR858
AT3G15270	ath-miR156
AT3G15270	ath-miR157
AT5G37020	ath-miR167
AT1G66720	ath-miR163
AT5G20230	ath-miR398
AT1G08830	ath-miR398
AT4G18390	ath-miR319
AT3G22470	ath-miR400
AT5G49850	ath-miR846
AT1G66690	ath-miR163
AT5G53950	ath-miR164
AT1G64580	ath-miR400
AT1G30210	ath-miR319
AT5G43780	ath-miR395
AT1G63400	ath-miR161
AT5G61430	ath-miR164
AT5G07680	ath-miR164
AT1G53290	ath-miR775
AT3G44860	ath-miR163
AT3G20910	ath-miR169
AT3G57920	ath-miR156
AT3G57920	ath-miR157
AT1G30330	ath-miR167
AT3G17185	ath-miR390
AT2G33770	ath-miR399
AT1G60130	ath-miR842
AT5G60020	ath-miR397
AT3G15170	ath-miR164
AT1G62670	ath-miR161
AT3G05690	ath-miR169
AT1G10120	ath-miR396
AT5G43060	ath-miR396
AT1G15125	ath-miR163
AT5G06100	ath-miR159
AT3G15640	ath-miR398
AT2G39250	ath-miR172
AT5G53660	ath-miR396
AT2G47460	ath-miR858
AT5G06510	ath-miR169
AT1G01040	ath-miR162
AT2G02850	ath-miR408
AT5G50670	ath-miR156
AT5G50670	ath-miR157
AT3G16710	ath-miR400
AT4G03190	ath-miR393
AT2G28190	ath-miR398
AT3G11440	ath-miR159
AT1G62860	ath-miR158
AT2G31070	ath-miR319
AT5G67180	ath-miR172
AT2G33810	ath-miR156
AT1G72830	ath-miR169
AT2G28550	ath-miR172
AT1G56010	ath-miR164
AT1G54160	ath-miR169
AT1G48410	ath-miR168
AT2G47020	ath-miR408
AT5G39610	ath-miR164
AT3G26810	ath-miR393
AT1G69170	ath-miR157
AT1G69170	ath-miR156
AT4G36920	ath-miR172
AT3G62980	ath-miR393
AT1G12820	ath-miR393
AT1G63150	ath-miR161
AT2G44790	ath-miR408
AT3G60630	ath-miR170
AT3G60630	ath-miR171
AT4G00150	ath-miR171
AT4G00150	ath-miR170
AT2G34710	ath-miR166
AT2G34710	ath-miR165
AT4G30080	ath-miR160
AT3G25795	ath-miR828
AT1G27360	ath-miR156
AT1G27360	ath-miR157
AT2G28350	ath-miR160
AT1G77850	ath-miR160
AT2G45160	ath-miR170
AT2G45160	ath-miR171
AT2G38080	ath-miR397
AT1G30490	ath-miR166
AT1G30490	ath-miR165
AT4G32880	ath-miR166
AT4G32880	ath-miR165
AT1G17590	ath-miR169
AT1G52150	ath-miR166
AT5G60120	ath-miR172
AT3G52910	ath-miR396
AT5G60690	ath-miR165
AT5G60690	ath-miR166
AT1G02860	ath-miR827
AT5G43270	ath-miR156
AT5G43270	ath-miR157
AT1G27370	ath-miR156
AT1G27370	ath-miR157
AT1G66700	ath-miR163
AT3G60250	ath-miR397
AT5G41170	ath-miR161
AT5G43740	ath-miR472
AT3G54990	ath-miR172
AT5G50570	ath-miR157
AT5G50570	ath-miR156
AT1G53160	ath-miR157
AT1G53160	ath-miR156
AT1G62720	ath-miR400
AT1G64583	ath-miR161
AT2G29130	ath-miR397
AT1G06580	ath-miR400
AT1G06580	ath-miR161
AT1G62590	ath-miR161
AT2G45480	ath-miR396
AT3G27200	ath-miR398
AT1G69770	ath-miR823
AT3G15030	ath-miR319
AT1G63330	ath-miR161
AT1G12520	ath-miR398
AT2G36400	ath-miR396
AT3G57230	ath-miR824
AT4G24150	ath-miR396
AT1G53230	ath-miR319
AT1G31280	ath-miR403
AT2G22840	ath-miR396
AT4G37740	ath-miR396
AT2G27400	ath-miR173
AT1G50055	ath-miR173
AT2G39675	ath-miR173
AT2G39681	ath-miR173
AT2G34010	ath-miR159
AT1G62910	ath-miR161
AT1G63130	ath-miR161
AT1G62914	ath-miR161
AT1G62930	ath-miR161
AT3G14110	ath-miR396
AT1G57570	ath-miR846
AT1G61230	ath-miR846
