miRNA	Locus
ath-miR173	AT2G27400
ath-miR173	AT2G39675
ath-miR173	AT2G39681
ath-miR396	AT2G22840
ath-miR173	AT1G50055
ath-miR396	AT4G37740
ath-miR403	AT1G31280
ath-miR396	AT2G36400
ath-miR319	AT1G53230
ath-miR824	AT3G57230
ath-miR396	AT4G24150
ath-miR398	AT1G12520
ath-miR161	AT1G63330
ath-miR398	AT3G27200
ath-miR823	AT1G69770
ath-miR161	AT1G62914
ath-miR319	AT3G15030
ath-miR161	AT1G62590
ath-miR396	AT2G45480
ath-miR161	AT1G62930
ath-miR156	AT5G50570
ath-miR156	AT5G43270
ath-miR397	AT3G60250
ath-miR161	AT1G64583
ath-miR172	AT3G54990
ath-miR400	AT1G62720
ath-miR400	AT1G06580
ath-miR472	AT5G43740
ath-miR397	AT2G29130
ath-miR161	AT5G41170
ath-miR163	AT1G66700
ath-miR396	AT3G52910
ath-miR156	AT1G53160
ath-miR165	AT5G60690
ath-miR171	AT3G60630
ath-miR172	AT5G60120
ath-miR396	AT1G53910
ath-miR160	AT1G77850
ath-miR160	AT2G28350
ath-miR161	AT1G63130
ath-miR166	AT1G52150
ath-miR171	AT2G45160
ath-miR393	AT1G12820
ath-miR396	AT3G14110
ath-miR165	AT1G30490
ath-miR165	AT2G34710
ath-miR156	AT1G27360
ath-miR159	AT2G34010
ath-miR160	AT4G30080
ath-miR169	AT1G17590
ath-miR172	AT4G36920
ath-miR827	AT1G02860
ath-miR156	AT1G27370
ath-miR161	AT1G62910
ath-miR161	AT1G63150
ath-miR171	AT4G00150
ath-miR393	AT3G62980
ath-miR156	AT1G69170
ath-miR393	AT3G26810
ath-miR157	AT5G43270
ath-miR161	AT1G62670
ath-miR164	AT1G56010
ath-miR164	AT5G39610
ath-miR172	AT2G28550
ath-miR396	AT5G43060
ath-miR397	AT2G38080
ath-miR398	AT3G15640
ath-miR159	AT3G11440
ath-miR165	AT4G32880
ath-miR169	AT1G72830
ath-miR170	AT3G60630
ath-miR319	AT2G31070
ath-miR156	AT2G33810
ath-miR170	AT2G45160
ath-miR172	AT5G67180
ath-miR398	AT2G28190
ath-miR408	AT2G02850
ath-miR858	AT2G47460
ath-miR156	AT5G50670
ath-miR162	AT1G01040
ath-miR167	AT1G30330
ath-miR169	AT5G06510
ath-miR170	AT4G00150
ath-miR393	AT4G03190
ath-miR400	AT3G16710
ath-miR169	AT1G54160
ath-miR172	AT2G39250
ath-miR408	AT2G47020
ath-miR157	AT3G57920
ath-miR163	AT1G15125
ath-miR390	AT3G17185
ath-miR396	AT1G10120
ath-miR397	AT5G60020
ath-miR828	AT3G25795
ath-miR159	AT5G06100
ath-miR168	AT1G48410
ath-miR157	AT1G27370
ath-miR158	AT1G62860
ath-miR163	AT3G44860
ath-miR169	AT3G05690
ath-miR394	AT1G27340
ath-miR161	AT1G06580
ath-miR164	AT5G07680
ath-miR164	AT5G61430
ath-miR169	AT3G20910
ath-miR396	AT5G53660
ath-miR398	AT1G08830
ath-miR846	AT5G49850
ath-miR164	AT3G15170
ath-miR319	AT1G30210
ath-miR400	AT1G64580
ath-miR156	AT3G15270
ath-miR161	AT1G63400
ath-miR163	AT1G66690
ath-miR167	AT5G37020
ath-miR319	AT4G18390
ath-miR400	AT3G22470
ath-miR164	AT5G53950
ath-miR164	AT3G12977
ath-miR398	AT5G20230
ath-miR842	AT1G60130
ath-miR846	AT1G57570
ath-miR858	AT1G06180
ath-miR395	AT5G43780
ath-miR157	AT1G27360
ath-miR398	AT5G14550
ath-miR773	AT4G05390
ath-miR156	AT2G42200
ath-miR169	AT1G48500
ath-miR395	AT3G22890
ath-miR399	AT2G33770
ath-miR775	AT1G53290
ath-miR156	AT5G64640
ath-miR163	AT1G66720
ath-miR391	AT4G29900
ath-miR778	AT2G22740
ath-miR400	AT4G19440
ath-miR824	AT3G14560
ath-miR857	AT3G09220
ath-miR156	AT3G57920
ath-miR158	AT3G15130
ath-miR163	AT5G38100
ath-miR390	AT5G57735
ath-miR828	AT5G52600
ath-miR773	AT4G14140
ath-miR159	AT5G55020
ath-miR2111	AT3G27150
ath-miR842	AT5G38550
ath-miR858	AT3G62610
ath-miR395	AT5G10180
ath-miR157	AT5G50570
ath-miR157	AT5G50670
ath-miR395	AT2G28780
ath-miR395	AT5G13630
ath-miR408	AT1G72230
ath-miR157	AT1G69170
ath-miR157	AT3G15270
ath-miR159	AT2G26960
ath-miR402	AT4G34060
ath-miR472	AT5G43730
ath-miR159	AT3G60460
ath-miR169	AT5G12840
ath-miR828	AT1G66370
ath-miR846	AT1G61230
ath-miR159	AT2G32460
ath-miR159	AT4G26930
ath-miR167	AT1G51760
ath-miR400	AT1G20300
ath-miR858	AT5G49330
