miRNA	Locus
ath-miR161	AT4G04780
ath-miR3434	AT1G37130
ath-miR5022	AT5G52060
ath-miR396	AT5G61440
ath-miR396	AT5G01370
ath-miR400	AT2G31400
ath-miR393	AT3G23690
ath-miR860	AT5G26030
ath-miR8184	AT4G38920
ath-miR824	AT4G25370
ath-miR826	AT4G03060
ath-miR858	AT3G17140
ath-miR396b-5p	ath-MIR396b_chr5_13611698-13612032
ath-miR773	AT3G07780
ath-miR163	AT1G66710
ath-miR396	AT1G60120
ath-miR398	AT2G27550
ath-miR780	AT4G26582
ath-miR858	AT1G66230
ath-miR866	AT4G21400
ath-miR167	AT3G19630
ath-miR858	AT3G24310
ath-miR858	AT4G12350
ath-miR395	AT1G50930
ath-miR173	AT5G65640
ath-miR390	AT2G33730
ath-miR398	AT2G47010
ath-miR415	AT1G17180
ath-miR472	AT4G14610
ath-miR5025	AT1G01340
ath-miR858	AT3G49690
ath-miR156	AT4G31340
ath-miR403	AT4G21510
ath-miR5025	AT3G15355
ath-miR5637	AT5G05450
ath-miR8166	AT2G17900
ath-miR837	AT1G52590
ath-miR2111	AT5G04950
ath-miR5655	AT4G28660
ath-miR5657	AT5G27660
ath-miR851	AT2G14890
ath-miR858	AT5G23000
ath-miR162	AT3G01330
ath-miR169	AT1G49910
ath-miR3440	AT3G44940
ath-miR393	AT4G32520
ath-miR399	AT4G09730
ath-miR773	AT4G08990
ath-miR777	AT3G01680
ath-miR831	AT3G08520
ath-miR864	AT3G06770
ath-miR868	AT4G31310
ath-miR10515	AT2G20610
ath-miR156	AT3G13760
ath-miR3434	AT4G30935
ath-miR394	AT5G33320
ath-miR404	AT1G07650
ath-miR408	AT5G21930
ath-miR773	AT1G10960
ath-miR858	AT3G61250
ath-miR867	AT3G15840
ath-miR157	AT2G42200
ath-miR167	AT4G27090
ath-miR173	AT1G79470
ath-miR2112	AT4G00760
ath-miR2112	AT5G62210
ath-miR319	AT5G18065
ath-miR391	AT1G15390
ath-miR396	AT3G01040
ath-miR398	AT2G33410
ath-miR419	AT3G52610
ath-miR5014	AT3G06080
ath-miR5630	AT1G33120
ath-miR5650	AT1G66880
ath-miR5652	AT1G04970
ath-miR5666	AT3G23050
ath-miR776	AT2G37710
ath-miR8166	AT2G40460
ath-miR8166	AT2G47890
ath-miR846	AT5G63020
ath-miR863	AT4G37410
ath-miR866	AT2G14540
ath-miR156	AT1G65440
ath-miR158	AT1G14070
ath-miR168	AT3G14075
ath-miR173	AT2G34650
ath-miR173	AT3G28460
ath-miR1886	AT1G48450
ath-miR1886.2	ath-MIR1886_chr2_15611770-15612082
ath-miR2111	AT3G15780
ath-miR390	AT5G19280
ath-miR396a-5p	ath-MIR396a_chr2_4142223-4142573
ath-miR398	AT4G12610
ath-miR408	AT3G51240
ath-miR4239	AT5G20510
ath-miR447	AT5G60760
ath-miR472	AT1G51480
ath-miR5639	AT1G22780
ath-miR5642	AT3G59760
ath-miR782	AT1G64890
ath-miR8167	AT1G50010
ath-miR8170	AT2G02500
ath-miR8172	AT3G13226
ath-miR822	AT5G02330
ath-miR826a	ath-MIR826b_chr4_1340421-1340714
ath-miR833	AT5G47550
ath-miR848	AT3G14060
ath-miR850	AT2G04842
ath-miR860	ath-MIR860_chr5_9098691-9099016
ath-miR864	AT1G05090
ath-miR156	AT3G08650
ath-miR159	AT5G44510
ath-miR159	AT5G60910
ath-miR160	AT4G18220
ath-miR160	AT4G32340
ath-miR167	AT1G47200
ath-miR169	AT4G36130
ath-miR169	AT5G45680
ath-miR169	AT5G67080
ath-miR170	AT1G67430
ath-miR172	AT1G60480
ath-miR172	AT3G49910
ath-miR172	AT5G12235
ath-miR2111	AT1G11755
ath-miR319	AT1G69220
ath-miR319	AT3G66658
ath-miR390	AT1G11850
ath-miR390	AT1G56130
ath-miR390	AT5G02480
ath-miR393	AT1G69040
ath-miR3932	AT4G35260
ath-miR396	AT2G28860
ath-miR397	AT3G19820
ath-miR403	AT4G38710
ath-miR406	AT1G03660
ath-miR4228	AT1G24100
ath-miR4243	AT1G48220
ath-miR5019	AT1G72020
ath-miR5021	AT3G60220
ath-miR5023	AT4G33660
ath-miR5630	AT1G33140
ath-miR5637	AT1G76560
ath-miR5644	AT4G28510
ath-miR5648	AT1G02090
ath-miR5648	AT5G17550
ath-miR5653	AT2G15320
ath-miR5656	AT5G52570
ath-miR5663	AT3G56190
ath-miR5664	AT3G24320
ath-miR5995	AT4G37150
ath-miR5997	AT2G05300
ath-miR5997	AT3G44850
ath-miR774	AT1G02220
ath-miR775	AT2G28305
ath-miR777	AT2G39500
ath-miR781	AT5G23480
ath-miR782	AT2G02870
ath-miR8167	AT3G55430
ath-miR8176	AT1G54010
ath-miR8176	AT4G37630
ath-miR8177	AT1G35580
ath-miR835	AT1G33970
ath-miR835	AT5G46170
ath-miR841	AT1G77550
ath-miR841	AT3G04850
ath-miR844	AT1G54460
ath-miR845	AT3G48700
ath-miR846	AT2G23000
ath-miR854	AT4G15430
ath-miR857	AT3G15353
ath-miR858	AT1G68320
ath-miR858	AT4G26930
ath-miR863	AT5G07620
ath-miR863	AT5G17770
ath-miR864	AT5G42980
ath-miR868	AT3G47930
ath-miR156	AT1G72340
ath-miR156	AT3G03440
ath-miR156	AT3G13870
ath-miR157	AT2G43710
ath-miR157	AT5G23060
ath-miR158	AT2G03870
ath-miR158	AT4G26910
ath-miR158	AT5G63320
ath-miR159	AT4G15530
ath-miR160	AT1G10350
ath-miR160	AT3G07700
ath-miR160	ATCG00280
ath-miR161	AT1G62860
ath-miR161	AT5G16940
ath-miR162	AT1G30630
ath-miR162	AT5G47550
ath-miR164	AT1G33440
ath-miR164	AT1G56190
ath-miR165	AT1G10380
ath-miR165	AT5G58220
ath-miR166	AT2G15630
ath-miR166	AT3G54000
ath-miR166	AT4G03250
ath-miR166	AT5G35670
ath-miR167	AT1G50580
ath-miR167	AT3G50280
ath-miR167	AT3G59050
ath-miR167	AT3G61310
ath-miR167	AT3G63020
ath-miR169	AT5G14040
ath-miR169a-3p	ath-MIR169i_chr3_9871860-9872265
